mpi,omp,Pair,Neigh,Comm,Output,Modify,Other
1,1,0.038063999999999994,0.008345833333333332,0.0016377,0.0,0.00023019000000000002,0.0005713333333333333
2,1,0.16158166666666665,0.03162466666666667,0.015265800000000001,0.0,0.0007516066666666668,0.0031163333333333334
4,1,0.080547,0.0168425,0.18922333333333333,0.0,0.0011015233333333332,0.07763666666666667
8,1,0.14235333333333333,0.03068433333333333,0.58862,0.0,0.0018428000000000001,0.21166666666666667
16,1,0.04527933333333333,0.015091000000000002,0.2526933333333334,0.0,0.0007006366666666668,0.11953333333333334
20,1,0.055239666666666666,0.015047333333333334,0.5179233333333334,0.0,0.0011187066666666667,0.2646033333333333
