mpi,omp,Pair,Neigh,Comm,Output,Modify,Other
1,1,1.24,0.22470999999999997,0.011841666666666667,0.00013111999999999998,0.019850999999999997,0.0008808333333333333
2,1,1.6766333333333332,0.3030933333333333,0.041578666666666673,0.00036159666666666664,0.029668,0.0014076666666666667
4,1,0.9135833333333334,0.16757333333333335,0.10756266666666668,0.00041820333333333334,0.018574333333333335,0.0008755333333333334
8,1,1.2965,0.23503666666666667,0.3055733333333333,0.0005708733333333334,0.024913333333333332,0.001152
16,1,1.4591333333333332,0.26262,0.47788666666666674,0.0008196766666666667,0.028126333333333333,0.0013193333333333332
28,1,2.2645,0.4013233333333333,0.8627433333333334,0.0020617666666666663,0.04716800000000001,0.002068
