mpi,omp,Pair,Neigh,Comm,Output,Modify,Other
1,1,0.03783333333333334,0.0082695,0.0016282666666666667,0.0,0.00022582666666666668,0.0005619
2,1,0.16364599999999999,0.032133,0.015887433333333333,0.0,0.0007682000000000001,0.0032066666666666667
4,1,0.05454133333333333,0.011412166666666668,0.16691999999999999,0.0,0.0008516066666666667,0.07005
8,1,0.13994333333333334,0.031209666666666663,0.5794733333333334,0.0,0.0018766,0.21613333333333332
16,1,0.05818333333333333,0.017093,0.33392,0.0,0.0009477233333333333,0.17834000000000003
20,1,0.040004000000000005,0.012745,0.3628,0.0,0.0007884433333333334,0.17188666666666666
